Name,comp_num,comp_Z,comp_Frac,Density
G4_TUNGSTEN_HEXAFLUORIDE,2,9,6,2.4
G4_URANIUM_DICARBIDE,1,92,1,11.28
G4_URANIUM_DICARBIDE,2,6,2,11.28
G4_URANIUM_MONOCARBIDE,1,92,1,13.63
G4_URANIUM_MONOCARBIDE,2,6,1,13.63
G4_URANIUM_OXIDE,1,92,1,10.96
G4_URANIUM_OXIDE,2,8,2,10.96
G4_WATER,1,1,2,1
G4_WATER,2,8,1,1
G4_XYLENE,1,6,8,0.87
G4_XYLENE,2,1,10,0.87
