Name,comp_num,comp_Z,comp_Frac,Density
G4_POLYVINYL_ACETATE,2,1,6,1.19
G4_POLYVINYL_ACETATE,3,8,2,1.19
G4_POLYVINYL_ALCOHOL,1,6,2,1.3
G4_POLYVINYL_ALCOHOL,2,1,4,1.3
G4_POLYVINYL_ALCOHOL,3,8,1,1.3
G4_POLYVINYL_BUTYRAL,1,6,8,1.12
G4_POLYVINYL_BUTYRAL,2,1,14,1.12
G4_POLYVINYL_BUTYRAL,3,8,2,1.12
G4_POLYVINYL_CHLORIDE,1,6,2,1.3
G4_POLYVINYL_CHLORIDE,2,1,3,1.3
G4_POLYVINYL_CHLORIDE,3,17,1,1.3
G4_POLYVINYLIDENE_CHLORIDE,1,6,2,1.7
G4_POLYVINYLIDENE_CHLORIDE,2,1,2,1.7
G4_POLYVINYLIDENE_CHLORIDE,3,17,2,1.7
G4_POLYVINYLIDENE_FLUORIDE,1,6,2,1.76
G4_POLYVINYLIDENE_FLUORIDE,2,1,2,1.76
G4_POLYVINYLIDENE_FLUORIDE,3,9,2,1.76
G4_N-PROPYL_ALCOHOL,1,6,3,0.8035
G4_N-PROPYL_ALCOHOL,2,1,8,0.8035
G4_N-PROPYL_ALCOHOL,3,8,1,0.8035
G4_PYRIDINE,1,6,5,0.9819
G4_PYRIDINE,2,1,5,0.9819
G4_PYRIDINE,3,7,1,0.9819
G4_RUBBER_NEOPRENE,1,1,0.05692,1.23
G4_RUBBER_NEOPRENE,2,6,0.542646,1.23
G4_RUBBER_NEOPRENE,3,17,0.400434,1.23
G4_SILVER_HALIDES,1,35,0.422895,6.47
G4_SILVER_HALIDES,2,47,0.573748,6.47
G4_SILVER_HALIDES,3,53,0.003357,6.47
G4_SODIUM_CARBONATE,1,11,2,2.532
G4_SODIUM_CARBONATE,2,6,1,2.532
G4_SODIUM_CARBONATE,3,8,3,2.532
G4_SODIUM_NITRATE,1,11,1,2.261
G4_SODIUM_NITRATE,2,7,1,2.261
G4_SODIUM_NITRATE,3,8,3,2.261
G4_SUCROSE,1,6,12,1.5805
G4_SUCROSE,2,1,22,1.5805
G4_SUCROSE,3,8,11,1.5805
G4_TRICHLOROETHYLENE,1,6,2,1.46
G4_TRICHLOROETHYLENE,2,1,1,1.46
G4_TRICHLOROETHYLENE,3,17,3,1.46
G4_VITON,1,1,0.009417,1.8
G4_VITON,2,6,0.280555,1.8
G4_VITON,3,9,0.710028,1.8
