Material_Num,Sample_Material,Sample_Material->GetDensity(g/cm3),Sample_Material->GetElectronDensity(1/cm3),Sample_Material->GetRadlen(cm),Sample_Material->GetIonisation()->GetMeanExcitationEnergy(eV),Sample_Material->GetIonisation()->GetPlasmaEnergy(eV),Sample_Material->GetIonisation()->GetAdjustmentFactor,Sample_Material->GetIonisation()->GetEnergy1fluct(eV),Sample_Material->GetIonisation()->GetEnergy2fluct(eV),Sample_Material->GetIonisation()->GetEnergy0fluct(eV),Sample_Material->GetIonisation()->GetRateionexcfluct(eV),Sample_Material->GetIonisation()->GetZeffective,Sample_Material->GetIonisation()->GetFermiEnergy(eV)
137,G4_P,2.20E+00,6.42E+23,9.64E+00,173,29.743,2.056,1.17E+02,2250,10,400000,15,23611.8
138,G4_GUANINE,2.20E+00,6.84E+23,1.81E+01,75,2.60E+01,1.97,3.48E+01,423.594,10,400000,4.875,26214.1
139,G4_TEFLON,2.20E+00,6.36E+23,1.58E+01,99.1,2.96E+01,2.142,5.35E+01,685.495,10,400000,8,17239.7
140,G4_GRAPHITE,2.21E+00,6.65E+23,1.93E+01,78,3.07E+01,2.29,3.63E+01,360,10,400000,6,25000
141,G4_Pyrex_Glass,2.23E+00,6.68E+23,1.26E+01,134,3.03E+01,2.369,8.14E+01,1065.53,10,400000,9.44934,22250.7
142,G4_SODIUM_NITRATE,2.26E+00,6.73E+23,1.45E+01,114.6,3.05E+01,2.456,6.52E+01,747.647,10,400000,8.4,18738.9
143,G4_SODIUM_MONOXIDE,2.27E+00,6.62E+23,1.28E+01,148.8,3.02E+01,2.689,9.26E+01,1045.62,10,400000,10,9451.53
144,G4_CONCRETE,2.30E+00,6.96E+23,1.16E+01,135.2,3.10E+01,2.322,8.32E+01,1231.76,10,400000,8.5515,22376.7
145,G4_GYPSUM,2.32E+00,7.14E+23,1.06E+01,129.7,3.14E+01,2.187,8.03E+01,1468.79,10,400000,7.33333,22112.6
146,G4_POTASSIUM_OXIDE,2.32E+00,6.82E+23,8.15E+00,189.9,30.672,2.065,1.32E+02,2934.93,10,400000,15.3333,7751.21
147,G4_SILICON_DIOXIDE,2.32E+00,6.98E+23,1.17E+01,139.2,3.10E+01,2.335,8.59E+01,1167.39,10,400000,10,22609.2
148,G4_Si,2.33E+00,6.99E+23,9.37E+00,173,31.055,2.103,1.15E+02,1960,10,400000,14,23722.3
149,G4_B,2.37E+00,6.60E+23,2.22E+01,76,3.02E+01,2.32,3.44E+01,250,10,400000,5,27489
150,G4_GLASS_PLATE,2.40E+00,7.19E+23,1.07E+01,145.4,3.15E+01,2.329,9.15E+01,1344.46,10,400000,10.4497,19699.9
151,G4_TUNGSTEN_HEXAFLUORIDE,2.40E+00,6.21E+23,4.05E+00,354.4,29.265,2.325,2.96E+02,24130,10,400000,18.2857,16645.4
152,G4_lKr,2.42E+00,6.26E+23,4.70E+00,352,29.3692,1,2.85E+02,12960,10,400000,36,3563.6
153,G4_LITHIUM_TETRABORATE,2.44E+00,7.12E+23,1.63E+01,94.6,3.13E+01,2.36,4.89E+01,465.47,10,400000,6.30769,21181.2
154,G4_BORON_CARBIDE,2.52E+00,7.14E+23,1.99E+01,84.7,3.14E+01,2.14,4.10E+01,272.209,10,400000,5.2,26981.8
155,G4_MAGNESIUM_TETRABORATE,2.53E+00,7.47E+23,1.40E+01,108.3,3.21E+01,2.43,5.97E+01,611.355,10,400000,7.33333,22884.6
156,G4_SODIUM_CARBONATE,2.53E+00,7.48E+23,1.25E+01,125,3.21E+01,2.557,7.34E+01,823.521,10,400000,8.66667,15493.7
157,G4_Sr,2.54E+00,6.63E+23,4.24E+00,366,30.244,1.707,2.98E+02,14440,10,400000,38,8352.39
158,G4_LITHIUM_FLUORIDE,2.64E+00,7.34E+23,1.49E+01,94,3.18E+01,2.197,4.89E+01,546.809,10,400000,6,11280.2
159,G4_Al,2.70E+00,7.83E+23,8.90E+00,166,32.86,2.18,1.09E+02,1690,10,400000,13,20484.2
160,G4_CALCIUM_CARBONATE,2.80E+00,8.42E+23,8.58E+00,136.4,3.41E+01,2.141,8.58E+01,1578.84,10,400000,10,19761.4
161,G4_lXe,2.95E+00,7.31E+23,2.87E+00,482,31.7571,1,4.12E+02,29160,10,400000,54,4684.84
162,G4_MAGNESIUM_CARBONATE,2.96E+00,8.87E+23,1.07E+01,118,3.50E+01,2.388,6.79E+01,786.444,10,400000,8.4,20511.8
163,G4_CALCIUM_SULFATE,2.96E+00,8.90E+23,7.67E+00,152.3,3.50E+01,2.179,9.88E+01,1800.13,10,400000,11.3333,19384.4
164,G4_Sc,2.99E+00,8.41E+23,5.54E+00,216,34.05,1.826,1.57E+02,4410,10,400000,21,16690.1
165,G4_MAGNESIUM_FLUORIDE,3.00E+00,8.70E+23,9.77E+00,134.3,3.46E+01,2.33,8.15E+01,1034.36,10,400000,10,13468.7
166,G4_BERYLLIUM_OXIDE,3.01E+00,8.70E+23,1.37E+01,93.2,3.46E+01,2.296,4.76E+01,430.168,10,400000,6,25439.9
167,G4_lBr,3.10E+00,8.18E+23,3.68E+00,343,33.5939,1,2.76E+02,12250,10,400000,35,6178.95
168,G4_POTASSIUM_IODIDE,3.13E+00,8.18E+23,3.08E+00,431.9,33.575,1.784,3.61E+02,20242.8,10,400000,36,5282.07
169,G4_CALCIUM_FLUORIDE,3.18E+00,9.32E+23,6.75E+00,166,35.849,2.127,1.11E+02,2145.23,10,400000,12.6667,12465.1
